State/UT,Year,Name of Fairs and Festivals,Amount Sanctioned,Amount Released
Andhra Pradesh,2014-15,Flamingo Festival at Nellore District,10,10
Andhra Pradesh,2014-15,Lepakshi Festival at Ananthapur district,10,10
Andhra Pradesh,2014-15,Kakinada Beach Festival at East Godavari district,10,10
Andhra Pradesh,2016-17,"Tourism events on the occasion of Krishna Pushkarma at Amravathi, Vijayawada, Srisailam of Andhra Pradesh",25,25
Assam,2016-17,"(i) Rass Mahotsav, Majuli (ii) Bodo National Festival (iii) Rongali Festival",35,35
Assam,2018-19,International Buddhist conference,25,25
Assam,2018-19,Rongali festival,25,25
Assam,2021-22,Bhogali Festival,25,25
Assam,2021-22,Rongoli festivals,25,25
Arunachal Pradesh,2014-15,Nyokum Festival,14,14
Arunachal Pradesh,2015-16,(i) Kameng River Eco-Tourism Festival (ii) Menchuka Adventure Festival and (iii) Orange Festival Dambuk,30,30
Arunachal Pradesh,2017-18,(i) Tawang Festival (ii) Menchuka Adventure Festival (iii) Orange Festival Dambuk,40,40
Arunachal Pradesh,2018-19,Basar Confluence 3.0 Festival,20,20
Arunachal Pradesh,2019-20,River Tribe's Angling Festival,25,25
Arunachal Pradesh,2019-20,Butterfly Meet at MIAO,25,25
Arunachal Pradesh,2020-21,Pedal to Pakke,25,25
Arunachal Pradesh,2021-22,Easterly Essence Ledum Festival,25,25
Arunachal Pradesh,2021-22,Orange Festival of Music and Adventure,25,25
Arunachal Pradesh,2022-23,Si Donyi Festival,25,25
Arunachal Pradesh,2022-23,Orange Festival,25,25
Bihar,2019-20,Sonepur Fair,25,25
Bihar,2019-20,Rajgir Mahotsav,25,25
Chandigarh,2016-17,World Tourism Day,4,4
Chandigarh,2016-17,Chandigarh Carnival,13,13
Chandigarh,2016-17,Rose Festival,13,13
Chandigarh,2017-18,World Tourism Day,10,10
Chandigarh,2017-18,Chandigarh Carnival,10,10
Chandigarh,2017-18,Rose Festival,10,10
Chandigarh,2018-19,World Tourism Day,10,10
Chandigarh,2018-19,Chandigarh Carnival,10,10
Chandigarh,2018-19,Rose Festival,10,10
Chandigarh,2019-20,World Tourism Day,10,10
Chandigarh,2019-20,Chandigarh Carnival,10,10
Chandigarh,2019-20,Rose Festival,10,10
Chandigarh,2021-22,Chandigarh Carnival Festival and,10,10
Chandigarh,2021-22,New Year Extravaganza,10,10
Chandigarh,2021-22,50th Chandigarh Rose Festival,10,10
Chandigarh,2022-23,Chandigarh Carnival,15,15
Chandigarh,2022-23,Rose Festival,15,15
Chhattisgarh,2014-15,CFA for Fair and Festivals,50,50
Chhattisgarh,2018-19,Bastar Dushehra Lokostav,10,10
Chhattisgarh,2018-19,Rajim Kumbh Mahotsav,10,10
Chhattisgarh,2018-19,Bhoramdeo Festival,5,5
Chhattisgarh,2019-20,National Tribal Festival,20,20
Goa,2020-21,Carnival Festival,25,25
Goa,2020-21,Shigmo Festival,25,25
Goa,2021-22,Carnival Festival,25,25
Goa,2021-22,Shigmo Festival,25,25
Goa,2022-23,Carnival Festival,25,25
Goa,2022-23,Shigmo Festival,25,25
Haryana,2014-15,29th Surajkund Craft Mela,30,30
Haryana,2015-16,30th Surajkund Crafts Mela,30,30
Haryana,2015-16,"Annual Kapal Mochan Fair, Gita Jayanti Utsav and Pinjore Heritage Festival",34.5,34.5
Haryana,2016-17,31st Surajkund International Craft Mela,30,30
Haryana,2017-18,32nd Surajkund International Crafts Mela,30,30
Haryana,2017-18,Pinjore Festival,25,25
Haryana,2018-19,Surajkund International Crafts Mela,30,30
Haryana,2019-20,Mango Mela,25,25
Haryana,2019-20,Heritage festival,25,25
Haryana,2019-20,Surajkund International Crafts Mela,30,30
Haryana,2021-22,Surajkund International Crafts Mela,30,30
Haryana,2022-23,Surajkund International Crafts Mela,30,30
Himachal Pradesh,2017-18,International Kullu Dussehra Festival,25,25
Himachal Pradesh,2018-19,International Shivratri Festival,25,25
Himachal Pradesh,2019-20,International Kullu Dussehra Festival,25,25
Himachal Pradesh,2019-20,Shivratri Festival,25,25
Himachal Pradesh,2021-22,International Shivratri festival,25,25
Himachal Pradesh,2022-23,International Shivratri festival,25,25
Himachal Pradesh,2022-23,International Kullu Dussehra Festival,25,25
Jharkhand,2017-18,Itkhori Festival,25,25
Jharkhand,2019-20,Bhairavnath Mahotsav,25,25
Jharkhand,2019-20,"Sharad Mahotsav, Nehtrahat",25,25
Karnataka,2019-20,Hampi Utsav,25,25
Kerala,2015-16,All India Craft Festival Sargolsav,12.5,12.5
Kerala,2016-17,64th Nehru Trophy Boat Race,25,25
Kerala,2016-17,"President's Trophy Boat Race, Kollam",25,25
Kerala,2017-18,"Home stay and Rural Tourism Travel Meet, Ernakulam;, President Trophy Boat Race",35,35
Kerala,2018-19,66th Nehru Trophy Boat Race,25,25
Kerala,2018-19,Sargalaya International Arts and Crafts Festival,25,25
Kerala,2019-20,Home Stay and Rural Tourism Travel Meet by Kerala Home Stay and Tourism Society,10,10
Kerala,2019-20,67th Nehru Trophy Boat Race,25,25
Kerala,2019-20,9th Sargalaya International Arts and Crafts Festival,15,15
Kerala,2022-23,Sargalaya International Arts and Crafts Festival,25,25
Leh and Ladakh,2019-20,Losar festival,15,15
Madhya Pradesh,2014-15,"Fairs, Festivals and events",33,33
Madhya Pradesh,2015-16,Fairs and festivals,19,19
Madhya Pradesh,2016-17,"Pachmarhi Utsav, Pachmarhi and Jal Mahotsav, Hanuwantiya",22,22
Madhya Pradesh,2016-17,"World Tourism Day Celebration (ii) Sharad Utsav, Bhedaghat (Jabalpur) and (iii) Mandu Utsav",20,20
Madhya Pradesh,2017-18,"(ii) Jal Mahotsav, Hanuwantia (iii) Khajuraho Dance Festival",50,50
Madhya Pradesh,2018-19,Pachmarhi Utsav and Jal Mahotsav,35,35
Madhya Pradesh,2018-19,Khajuraho Dance Festival,15,15
Madhya Pradesh,2019-20,"Pachmarhi Utsav, Pachmarhi",10,10
Madhya Pradesh,2019-20,"Jal Mahotsav, Hanuwantia",15,15
Madhya Pradesh,2019-20,Khajuraho Dance Festival,25,25
Madhya Pradesh,2020-21,Baiga Olympics,20,20
Madhya Pradesh,2021-22,"Pachmarhi Utsav, Pachmarhi",10,10
Madhya Pradesh,2021-22,"Jal Mahotsav, Hanuwantia",25,25
Madhya Pradesh,2021-22,Khajuraho Dance Festival,15,15
Madhya Pradesh,2022-23,"Jal Mahotsav, Hanuwantia",25,25
Madhya Pradesh,2022-23,Khajuraho Dance Festival,15,15
Manipur,2014-15,"Manipuri Festival and Youth, Adventureand Water sports festival",50,50
Manipur,2015-16,"Manipur Sangai Festival and Youth, Adventure and Water Sports Festival Manipur 2015",50,50
Manipur,2016-17,"Manipur Sangai Festival, and Youth Adventure and Water Adventure sports festival",50,50
Manipur,2017-18,Manipur Sangai Festival and “Youth Adventure and Water Sports Festival,50,50
Manipur,2019-20,Sangai Festival,25,25
Manipur,2019-20,Youth Adventure and Water Sports festival,25,25
Meghalaya,2016-17,Wangala Dance Festival and Nongkrem Dance Festival,42.22,42.22
Meghalaya,2017-18,"Wangala Dance Festival, Nongkrem Dance Festival and Lasubon Festival",50,50
Meghalaya,2018-19,Wangala Dance Festival and Nongkrem Dance Festival,50,50
Meghalaya,2019-20,Wangala Dance,25,25
Meghalaya,2019-20,Nongkrem Dance Festival,25,25
Meghalaya,2021-22,Wangala Dance,25,25
Meghalaya,2021-22,Nongkrem Dance Festival,25,25
Meghalaya,2022-23,Wangala Dance,25,25
Meghalaya,2022-23,Nongkrem Dance Festival,25,25
Meghalaya,2023-24,Nongkrem Dance Festival,25,25
Mizoram,2014-15,"Anthurium Festival,",25,25
Mizoram,2014-15,ThalfavangKut festival,25,25
Mizoram,2015-16,Anthurium Festival,25,25
Mizoram,2015-16,ThalfavangKut Festival,25,25
Mizoram,2017-18,Winter Festival,25,25
Mizoram,2017-18,Chapchar Kut,25,25
Mizoram,2018-19,Chapchar Kut Festival,25,25
Mizoram,2019-20,Anthurium Festival,25,25
Mizoram,2019-20,Winter Festival,25,25
Mizoram,2020-21,Anthurium Festival,25,25
Mizoram,2020-21,Winter Festival,25,25
Mizoram,2021-22,Anthurium Festival,25,25
Mizoram,2021-22,Winter Festival,25,25
Mizoram,2022-23,Anthurium Festival,25,25
Mizoram,2022-23,Winter Festival,25,25
Nagaland,2014-15,"Hornbil Festival, 2014",25,25
Nagaland,2015-16,NA,0,0
Nagaland,2016-17,Hornbill Festival,25,25
Nagaland,2017-18,"Sekrenyi Festival, Hornbill Festival, Rengma'sNgadah Festival",50,50
Nagaland,2019-20,Hornbill Festival,25,25
Nagaland,2019-20,Thuwu-Ni Festival,10,10
Nagaland,2019-20,Sukhrunye Festival,15,15
Nagaland,2021-22,Hornbill Festival,20,20
Nagaland,2021-22,The Angami's Sekrenyi Festival,10,10
Nagaland,2022-23,Ahuna Festival,5,5
Nagaland,2022-23,Runa Festival,5,5
Nagaland,2022-23,Sekrenyi Festival,5,5
Nagaland,2022-23,Autumn Festival at Nagaland House Kolkata,5,5
Nagaland,2022-23,Autumn Festival at Nagaland House New Delhi,5,5
Nagaland,2022-23,Hornbill Festival,25,25
Nagaland,2023-24,"Autumn Festival at Nagaland House, New Delhi",10,10
Nagaland,2023-24,"Cuisine and Music Festival at Naga Heritage Village, Kisama",25,25
Puducherry,2018-19,International Yoga Festival,15,15
Puducherry,2018-19,Karaikal Carnival,8,8
Puducherry,2018-19,Yanam People's Festival,7,7
Puducherry,2021-22,27th Yoga Festival at Puducherry,15,15
Puducherry,2021-22,Yanam People's Festival,7,7
Puducherry,2021-22,Carnival Festival at Karaikal,8,8
Punjab,2014-15,"Shree Baba Harivallabh Sangeet Sammelan and Sports Mela Kila, Ludhiana",30,30
Punjab,2014-15,Sufi festival at Amritsar,20,20
Punjab,2015-16,"Harivallabh Sangeet Samelan, Jalandhar and Rural Sports Mela Quila, Raipur District Ludhiana",12.5,12.5
Punjab,2015-16,Sufi festival at Mohali,20,20
Punjab,2017-18,"Shree Baba Harivallabh Sangeet Samemelan, Jalandhar",10,10
Punjab,2017-18,Hola Mohalla at Anandpur Sahib,10,10
Punjab,2018-19,Sufi Festival at Amritsar,20,20
Punjab,2018-19,Harivallabha Sangeet Samelan at Jhallandhar,10,10
Punjab,2018-19,Patiala Heritage Festival,20,20
Punjab,2019-20,Sufi festival,25,25
Punjab,2019-20,Hola Mohalla Festival,25,25
Punjab,2021-22,"Harivallabh Sangeet Samemelan, Jalandhar",25,25
Punjab,2021-22,Hola Mohalla at Shri Anandpur Sahib,25,25
Rajasthan,2014-15,CFA for celebration of Fair and Festival and events in the State of Rajasthan,40,40
Sikkim,2015-16,"(i) World Tourism Day, Gangtok, (ii) Sikkim Winter Carnival, Gangtok",44,44
Sikkim,2016-17,"World Tourism Day, Gangtok",25,25
Sikkim,2016-17,"Red Panda Winter Festival, Gangtok",25,25
Sikkim,2017-18,"World Tourism Day, Gangtok",25,25
Sikkim,2017-18,"Red Panda Winter festival, Gangtok",25,25
Sikkim,2018-19,World Tourism Day,25,25
Sikkim,2018-19,"Red Panda Festival , Gangtok",25,25
Sikkim,2019-20,"World Tourism Day, Gangtok",25,25
Sikkim,2019-20,Red Panda Winter Festival,25,25
Sikkim,2020-21,Red Panda Winter Carnival,25,25
Sikkim,2020-21,Jorethang Maghey Mela,12.5,12.5
Sikkim,2020-21,Pelling Winter Tourism Festival,12.5,12.5
Sikkim,2021-22,Cherry Temi Tea and Tourism Festival Temi Tea Gardens South Sikkim,12.5,12.5
Sikkim,2021-22,Khangchendzonga Winter Carnival Festival,12.5,12.5
Sikkim,2021-22,Jorethang Maghey Mela,25,25
Tripura,2016-17,"(i) Neermahal Festival at Rajghat, Melaghar in Sepahijala District (ii) Devali Festival at Maabari, Udaipur in Gomati District (iii) Pilak Festival at Julaibari Santirbazar in South Tripura",18,18
Tripura,2019-20,Kharchi Mela,25,25
Tripura,2019-20,Neermahal Festival,2,2
Tripura,2019-20,Diwali Mela,15,15
Tripura,2020-21,Bharat Bangla Festival,25,25
Tripura,2022-23,Neermahal Festival,10,10
Tripura,2022-23,Diwali Festival,5,5
Tripura,2022-23,Chabimura Festival,5,5
Tripura,2023-24,Neermahal Festival,9.8,9.8
Tripura,2023-24,Diwali Festival,9.55,9.55
Tripura,2023-24,Chabimura Festival,3,3
Tamil Nadu,2015-16,"Indian Dance Festival at Mamallapuram, Tamilnadu",8,8
Tamil Nadu,2016-17,India Dance Festival at Mamallapuram,25,25
Tamil Nadu,2017-18,India Dance Festival at Mamallapuram,25,25
Tamil Nadu,2018-19,India Dance Festival at Mamallapuram,25,25
Tamil Nadu,2019-20,Indian Dance Festival,25,25
Tamil Nadu,2019-20,Kumari Festival,10,10
Tamil Nadu,2019-20,Tourism Cultural Festival,15,15
Tamil Nadu,2021-22,India Dance Festival at Mamallapuram,25,25
Tamil Nadu,2022-23,India Dance Festival at Mamallapuram,25,25
Telangana,2014-15,Kakatiya Festival at Warangal,25,25
Telangana,2014-15,Golconda Festival at Hyderabad,25,25
Telangana,2017-18,3rd International Kite Festival and Golconda Masters Golf Championship at Hyderabad,45,45
Telangana,2018-19,Bathukamma Festival,25,25
Telangana,2018-19,4th International Kite Festival,25,25
Telangana,2019-20,Bathukamma Festival,25,25
Telangana,2019-20,Kite Festival,25,25
Telangana,2021-22,Bathukamma Festival,25,25
Telangana,2021-22,Medaram Jatara at Munugu,25,25
Uttarakhand,2017-18,Yoga Festival,25,25
Uttarakhand,2018-19,Tehri Festivaland International Yoga Festival,50,50
Uttarakhand,2019-20,International Yoga Festival and Tehri Festival,50,50
Uttarakhand,2022-23,International Yoga Festival,25,25
Uttar Pradesh,2016-17,"Ganga Mahotsav, Varanasi",25,25
Uttar Pradesh,2016-17,"Shilpotsav, Noida",30,30
Uttar Pradesh,2017-18,"Shilpotsav, Noida",25,25
Uttar Pradesh,2017-18,"Organizing a two day seminar on Cultural/ Tourism Development at Naimisharanya, Sitapur",25,25
Uttar Pradesh,2018-19,"Shilpotsav, Noida",30,30
Uttar Pradesh,2018-19,Taj Mahotsav,25,25
Uttar Pradesh,2018-19,Ganga Mahotsav,25,25
Uttar Pradesh,2019-20,Ganga Mahotsav-Varanasi,15,15
Uttar Pradesh,2019-20,"Deepotsav, Ayodhya",25,25
Uttar Pradesh,2019-20,"Taj Mahotsav, Agra",10,10
Uttar Pradesh,2022-23,Firozabad Mahotsav,25,25
Uttar Pradesh,2023-24,Firozabad Mahotsav,25,25
Uttar Pradesh,2023-24,Hathras Mahotsav,25,25
